Date,CA drought,WA drought,CA rain,WA rain,,
1895,0.87,-0.67,22.88,35.76,,0.740737737
1896,2.06,0.55,29.51,49.17,,
1897,-0.03,1.54,21.95,50.59,,
1898,-2.16,-0.92,12.47,35.08,,
1899,0.51,1.85,24.81,52.08,,
1900,0.76,1.7,20.05,45.41,,
1901,1.51,1.25,22.44,42.07,,
1902,1.12,1.58,24.82,50.52,,
1903,0.03,1.57,20.73,42.65,,
1904,1.94,-0.28,28.23,45.45,,
1905,0.74,-0.04,20.36,39.66,,
1906,3.4,0.42,33.49,45.71,,
1907,3.04,-0.28,28.82,40.24,,
1908,-0.03,-0.19,16.98,37.32,,
1909,0.48,-0.6,34.46,44.44,,
1910,-1.58,-0.66,14.79,43.18,,
1911,0.98,-0.48,24.42,33.92,,
1912,0.61,0.64,18.95,43.64,,
1913,0.43,0.35,21.61,37.28,,
1914,0.26,-0.5,25.56,39.82,,
1915,2.23,-0.54,26.96,42.21,,
1916,0.08,1.48,26.12,43.37,,
1917,-0.45,-0.19,14.22,43.05,,
1918,-2.11,-0.21,20.33,40.15,,
1919,-1.47,-0.26,18.64,40.36,,
1920,0.43,0.53,22.94,43.87,,
1921,0.39,2.22,21.88,49.14,,
1922,0.44,-1.76,24.29,32.71,,
1923,0.19,-0.26,13.61,39.14,,
1924,-3.37,-2.61,15.26,36.95,,
1925,0.74,-2.49,19.78,35.48,,
1926,-0.38,-2.14,24.16,38.23,,
1927,1.54,0.52,24.96,45.67,,
1928,-1.28,-1.43,17.23,34.16,,
1929,-2.07,-3.7,13.34,26,,
1930,-1.45,-3.89,16.69,28.86,,
1931,-2.18,-1.41,22.97,43.34,,
1932,-0.66,0.09,14.79,47.78,,
1933,-0.66,1.08,18.7,53.44,,
1934,-2.14,-0.64,17.43,43.57,,
1935,-0.04,-1.43,21.16,32.68,,
1936,-0.42,-0.4,23.95,36.95,,
1937,0.23,1.4,27.8,49.88,,
1938,0.86,-1.76,28.67,33.76,,
1939,-2.03,-3.18,15.33,35.86,,
1940,0.19,-2.17,32.67,42.22,,
1941,3.6,-0.51,34.86,40.07,,
1942,3.15,-0.19,22.47,38.66,,
1943,1.18,-0.3,22.78,32.65,,
1944,0.39,-2.83,22.3,30.31,,
1945,0.8,0.06,26.38,46.34,,
1946,-1.39,0.41,16.52,43.68,,
1947,-2.09,0.09,13.17,41.8,,
1948,0.32,3.07,20.22,53.45,,
1949,-1.2,-0.54,15.22,38.69,,
1950,-0.79,2.08,25.94,54.17,,
1951,0,0.38,23.59,45.45,,
1952,2.28,-1.73,27.97,27.81,,
1953,0.52,1.52,17.19,50.84,,
1954,-0.35,1.37,23,45.22,,
1955,0.09,1.24,23.71,48.92,,
1956,0.29,0.46,17.85,42.99,,
1957,0.9,-0.19,24.55,39.21,,
1958,2.8,-0.56,27.76,46.37,,
1959,-3.28,1.59,15.21,46.77,,
1960,-2.86,0.27,21.77,42.38,,
1961,-2.09,0.27,16.53,48.75,,
1962,-0.42,0.12,22.1,40.23,,
1963,1.3,-0.19,24.74,39.34,,
1964,-0.06,0.44,22.27,45.11,,
1965,0.64,-1.09,21.98,36.53,,
1966,-1.41,-0.86,18.72,41.66,,
1967,1.68,-0.25,23.75,42.83,,
1968,-0.82,1.22,20.37,49.96,,
1969,0.25,-0.75,30.6,37.24,,
1970,-0.42,-0.91,27.81,42.24,,
1971,0.27,1.7,18.24,48.87,,
1972,-0.86,2.17,17.21,49.95,,
1973,0.34,-1.16,28.93,41.42,,
1974,0.33,1.7,21.35,47.3,,
1975,0.65,0.6,20.94,50.93,,
1976,-3.21,0.59,11.75,33.18,,
1977,-3.25,-0.94,17.53,41.56,,
1978,1.93,-0.04,28.86,35.99,,
1979,0.45,-2.06,24.63,38.21,,
1980,0.71,0.7,24.12,44.74,,
1981,-1.02,1.14,26.24,43.8,,
1982,3.45,1.98,31.99,47.39,,
1983,6.53,2.42,42.46,51.84,,
1984,-0.66,2.35,18.32,46.97,,
1985,-1.21,-2.07,14.7,29.99,,
1986,-0.11,-1.4,24.25,41.63,,
1987,-2.99,-2.33,19.71,34.39,,
1988,-2.12,-2.03,17.1,39.95,,
1989,-1.41,-1.43,14.95,36.56,,
1990,-2.99,1.22,13.99,50.93,,
1991,-2.55,0.7,19.79,40.48,,
1992,-2.42,-2.65,23.23,37.13,,
1993,1.62,-0.71,26.7,33.68,,
1994,-1.94,-1.58,17.54,42.51,,
1995,4.18,1.17,35.2,51.09,,
1996,2.46,2.72,32.51,54.95,,
1997,-0.87,3.61,20.6,51.07,,
1998,4.64,-0.5,36.41,48.61,,
1999,-0.17,1.78,17.63,49.3,,
2000,-0.52,-0.37,21.43,34.21,,
2001,-2.42,-0.57,23.02,39.16,,
2002,-2.19,-0.28,18.68,36.51,,
2003,0.25,-1.03,21.63,43.48,,
2004,-0.99,-1.9,21.76,37.65,,
2005,3.08,-0.27,30.1,38.64,,
2006,0.46,-0.17,23.61,50.26,,
2007,-3.77,-0.8,13.84,40.24,,
2008,-3.67,-1.16,17.85,37.39,,
2009,-3.57,-1.06,17.05,39.9,,
2010,1.47,1.24,31.18,47.33,,
2011,1.71,1.63,18.79,43.82,,
2012,-1.6,1.93,23.45,52.87,,
2013,-2.84,-0.07,7.93,35.68,,
2014,-5.76,0.17,19.9,48.81,,
2015,-4.79,-1.75,15.05,43.25,,
2016,-1.38,0.2,25.73,49.14,,
2017,-0.06,0.42,27.65,48.74,,
